date,revenue,profit_margin,cash_balance,debt_ratio,accounts_receivable,inventory,customer_acquisition_cost,monthly_recurring_revenue,customer_lifetime_value
2023-01-01,248489.99099751684,0.18326233026682642,177845.70009171704,0.2559134029941659,74435.88660718987,62400.39824557169,357.32201683171945,173164.29688843215,2076.9653259876095
2023-01-31,249402.08685159276,0.17758622577880342,190852.81211925767,0.2487543517239049,78391.32301677811,60432.3224237577,348.37776551854836,176258.98602387117,2224.4167739052455
2023-03-02,260933.9637463882,0.1886152768870295,190832.7772679038,0.2503656751956438,77242.39461936722,59391.95637491429,360.76816710875704,180776.05005492602,2192.992528254035
2023-04-01,267646.6536436952,0.18713444692223327,188445.82451649712,0.24495655904079733,76566.68277143677,63016.872625759264,350.5053438384023,187644.67444686175,2176.322568685434
2023-05-01,271678.31720843195,0.17548847371106457,197040.54475054907,0.24674683981418138,72351.83831784547,65075.75042974567,344.74598419867857,204007.60758477426,2219.656482748648
2023-05-31,276104.80359422613,0.1739748254574579,195986.9741977576,0.2430962904201411,72998.22911097122,61087.57289752049,348.8707728883698,205660.91933760655,2247.641352215072
2023-06-30,289840.2872682371,0.18969904557871767,194370.9397205213,0.2419148235991924,72967.10024213539,61781.642043427026,349.58224187874373,210750.89257643727,2302.652791323079
2023-07-30,309290.84887162625,0.17799397329681194,211714.7214658962,0.24524313043276225,72766.56141429293,59473.11165659415,365.7509451429284,214626.95053774508,2223.115821499725
2023-08-29,319291.4284637838,0.18732832642212394,215567.86616031607,0.24562227631715042,73617.24010321187,62303.24079187405,333.1493011716208,217067.15517781593,2344.58284611816
2023-09-28,311824.990245405,0.1773926338300639,207374.2329886911,0.2340762542521055,78008.90092892929,63055.43955757821,347.06115463248346,219856.15976044638,2360.859030786838
2023-10-28,313200.4819799648,0.18417777660041215,211798.66007792653,0.2379671834549143,76390.01007512036,63288.78063254603,337.67942132717656,228842.4455313232,2300.462145974333
2023-11-27,335684.6754942321,0.1770709706842881,223914.21692430365,0.24080611102735688,77380.66246870543,61694.15593083732,367.2706974650691,236772.8429671893,2228.9584862158563
